model,year,mileage,fuel,price
89,2015,139568,1,35900
89,2018,31991,1,78501
89,2015,278437,1,27000
89,2016,47600,1,30800
89,2014,103000,0,35900
89,2017,121203,1,51900
89,2017,119965,1,44700
89,2016,201658,1,29000
89,2014,178666,1,28900
89,2015,113000,1,34900
89,2012,237000,1,24800
89,2017,137000,1,39900
89,2016,154000,1,35900
89,2017,59339,1,55300
89,2016,137445,1,34700
89,2016,141859,1,39900
89,2012,195000,1,25900
89,2015,180000,1,32900
89,2018,107515,1,62000
89,2017,149000,1,39852
89,2017,101800,1,44990
89,2012,164000,1,15500
89,2016,124000,3,40900
89,2018,91000,1,53600
89,2016,155450,1,37500
89,2015,125327,1,39900
89,2018,185000,1,39975
89,2015,195000,1,20999
89,2015,135000,1,39000
89,2018,135403,1,62000
89,2018,117320,1,53874
89,2016,133700,1,38900
89,2015,139568,1,35900
89,2018,31991,1,78501
89,2015,278437,1,27000
89,2016,47600,1,30800
89,2014,103000,0,35900
89,2017,121203,1,51900
89,2017,119965,1,44700
89,2016,201658,1,29000
89,2014,178666,1,28900
89,2015,113000,1,34900
89,2012,237000,1,24800
89,2017,137000,1,39900
89,2016,154000,1,35900
89,2017,59339,1,55300
89,2016,137445,1,34700
89,2016,141859,1,39900
89,2012,195000,1,25900
89,2015,180000,1,32900
89,2018,107515,1,62000
89,2017,149000,1,39852
89,2017,101800,1,44990
89,2012,164000,1,15500
89,2016,124000,3,40900
89,2018,91000,1,53600
89,2016,155450,1,37500
89,2015,125327,1,39900
89,2018,185000,1,39975
89,2015,195000,1,20999
89,2015,135000,1,39000
89,2018,135403,1,62000
89,2018,117320,1,53874
89,2016,133700,1,38900
302,1998,240000,5,2900
302,1999,310000,3,2600
302,2001,345000,3,6000
302,1999,292356,1,3900
302,2000,175000,3,4999
302,1998,401315,5,2000
302,2002,149337,1,7490
302,2000,241252,3,5499
302,2000,131000,3,9600
302,2000,200000,5,4700
302,2000,143000,3,6000
302,2001,255000,3,2550
302,1996,120000,3,4000
302,1998,303000,5,2350
302,2000,260000,5,3000
302,1996,142000,3,4400
302,2000,198465,3,3900
302,1999,326492,5,4500
302,1998,122057,3,6300
302,1998,198600,3,1950
302,1999,275162,3,2800
302,1998,200000,5,2999
302,1997,113000,3,12900
302,1999,304000,5,5900
302,1999,290000,1,3300
302,2001,250000,5,5900
302,1997,153000,3,2999
302,2004,258015,3,7400
302,1998,152000,3,3500
302,2007,229000,1,14900
302,2008,253477,1,9999
302,2008,230000,1,19500
302,2007,208700,5,14900
302,2006,240000,1,8900
302,2004,272130,1,6499
302,2005,260918,1,11000
302,2004,226012,5,6500
302,2005,143000,3,15998
302,2007,330000,5,12900
302,2007,315142,1,13900
302,2007,245626,3,11900
302,2002,198000,3,9900
302,2007,180000,3,18900
302,2006,170000,3,12500
302,2002,271000,5,7900
302,2005,149000,3,13900
302,2008,187000,3,12900
302,2004,207713,3,14999
302,2006,197193,1,15600
302,2008,310000,1,8900
302,2004,122000,3,9900
302,2006,218400,3,15999
302,2007,253000,1,7500
302,2008,276795,1,9000
302,2004,253601,3,11000
302,2002,191350,3,8990
302,2008,214000,1,13000
302,2006,233790,3,25900
302,2007,236000,1,15900
302,2005,272600,1,7600
302,2008,180000,1,13500
302,2007,229000,1,14900
302,2008,253477,1,9999
302,2008,230000,1,19500
302,2007,208700,5,14900
302,2006,240000,1,8900
302,2004,272130,1,6499
302,2005,260918,1,11000
302,2004,226012,5,6500
302,2005,143000,3,15998
302,2007,330000,5,12900
302,2007,315142,1,13900
302,2007,245626,3,11900
302,2002,198000,3,9900
302,2007,180000,3,18900
302,2006,170000,3,12500
302,2002,271000,5,7900
302,2005,149000,3,13900
302,2008,187000,3,12900
302,2004,207713,3,14999
302,2006,197193,1,15600
302,2008,310000,1,8900
302,2004,122000,3,9900
302,2006,218400,3,15999
302,2007,253000,1,7500
302,2008,276795,1,9000
302,2004,253601,3,11000
302,2002,191350,3,8990
302,2008,214000,1,13000
302,2006,233790,3,25900
302,2007,236000,1,15900
302,2005,272600,1,7600
302,2008,180000,1,13500
302,2005,327255,1,10900
302,2004,398119,1,4500
302,2004,169117,3,8500
302,2006,157000,3,16800
302,2007,320000,1,8500
302,2008,206570,3,18900
302,2008,232000,1,18900
302,2005,375000,1,3800
302,2002,242000,3,7900
302,2007,221000,1,13500
302,2006,268000,1,7900
302,2007,132000,3,13900
302,2005,236215,3,7850
302,2006,160000,3,15200
302,2003,350000,3,6850
302,2008,238000,1,11000
302,2007,199000,3,19999
302,2005,301000,5,8500
302,2003,286000,3,7000
302,2005,296100,1,5500
302,2007,173000,3,28500
302,2002,173000,3,6900
302,2002,109900,3,8999
302,2002,152700,3,7999
302,2002,220000,5,4500
302,2006,400000,1,11000
302,2006,191000,3,13900
302,2008,283340,1,10500
302,2005,174000,1,7200
302,2008,223000,1,16950
302,2003,281185,5,13000
302,2008,320000,1,8900
34,2013,101514,3,29900
34,2014,98317,5,36900
34,2017,96511,3,48900
34,2013,141399,3,31300
34,2014,60936,3,40900
34,2015,72279,3,43500
34,2015,91773,3,35700
34,2018,34000,3,43500
34,2014,100053,3,31500
34,2014,109330,3,32500
34,2014,121311,3,33500
34,2013,91512,3,32900
34,2018,8049,3,46600
34,2014,81932,3,27900
34,2015,95988,3,41500
34,2017,91955,3,36500
34,2015,39007,3,38900
34,2015,106000,3,38000
34,2015,91000,3,35300
34,2018,37000,3,37900
34,2014,78000,3,20999
34,2019,21000,3,47800
34,2013,50000,3,22900
34,2013,102748,3,28500
34,2015,10000,3,31000
34,2013,130000,3,33900
34,2014,36434,3,31999
34,2017,48000,3,35500
34,2016,54000,3,36900
34,2013,18690,3,26999
34,2019,27900,3,49000
34,2013,162663,3,24900
34,2013,101514,3,29900
34,2014,98317,5,36900
34,2017,96511,3,48900
34,2013,141399,3,31300
34,2014,60936,3,40900
34,2015,72279,3,43500
34,2015,91773,3,35700
34,2018,34000,3,43500
34,2014,100053,3,31500
34,2014,109330,3,32500
34,2014,121311,3,33500
34,2013,91512,3,32900
34,2018,8049,3,46600
34,2014,81932,3,27900
34,2015,95988,3,41500
34,2017,91955,3,36500
34,2015,39007,3,38900
34,2015,106000,3,38000
34,2015,91000,3,35300
34,2018,37000,3,37900
34,2014,78000,3,20999
34,2019,21000,3,47800
34,2013,50000,3,22900
34,2013,102748,3,28500
34,2015,10000,3,31000
34,2013,130000,3,33900
34,2014,36434,3,31999
34,2017,48000,3,35500
34,2016,54000,3,36900
34,2013,18690,3,26999
34,2019,27900,3,49000
34,2013,162663,3,24900
34,2015,67661,3,39900
34,2018,43000,3,34900
34,2015,61000,3,30900
34,2015,55000,3,32900
34,2017,22060,3,38900
34,2015,14000,3,31900
34,2014,50158,3,31900
34,2016,80637,3,32999
34,2014,120000,5,25900
34,2016,27053,3,32900
34,2015,122298,3,28900
34,2016,78000,3,35900
34,2013,170000,3,28400
34,2013,196400,5,24500
34,2013,140800,3,29900
34,2015,120480,3,49900
34,2013,72000,3,25900
34,2013,130000,3,26900
34,2013,77900,3,29900
34,2016,67000,3,35900
34,2013,98793,3,26999
34,2017,23000,3,35900
34,2018,27016,3,39900
34,2018,15716,3,33900
34,2019,14961,3,55000
34,2013,79000,3,32500
34,2018,6100,3,44280
34,2014,155000,3,24950
34,2021,12111,1,100000
34,2017,30946,3,37900
34,2014,48000,3,36999
34,2015,57500,3,34900
35,2009,149000,3,11500
35,2011,100942,3,16300
35,2009,57700,3,13400
35,2008,93000,3,12800
35,2009,146000,3,13500
35,2010,155324,3,21500
35,2008,125000,3,11900
35,2009,190000,3,13999
35,2008,142353,1,12900
35,2008,180000,3,10500
35,2012,79717,3,18700
35,2009,91437,3,14900
35,2009,53000,3,26999
35,2008,170000,3,12900
35,2010,111000,3,16700
35,2009,182223,3,13999
35,2009,134000,3,12999
35,2010,235000,3,8800
35,2010,109079,3,17900
35,2010,160000,3,14900
35,2008,156000,3,9300
35,2009,151455,3,11999
35,2008,154000,1,13900
35,2012,77000,3,17400
35,2010,112177,3,9700
35,2012,120000,3,17990
35,2009,131000,3,11500
35,2008,78000,3,12900
35,2010,123000,3,16300
35,2012,153000,3,15500
35,2010,82000,5,18500
35,2008,159960,3,14900
35,2009,149000,3,11500
35,2011,100942,3,16300
35,2009,57700,3,13400
35,2008,93000,3,12800
35,2009,146000,3,13500
35,2010,155324,3,21500
35,2008,125000,3,11900
35,2009,190000,3,13999
35,2008,142353,1,12900
35,2008,180000,3,10500
35,2012,79717,3,18700
35,2009,91437,3,14900
35,2009,53000,3,26999
35,2008,170000,3,12900
35,2010,111000,3,16700
35,2009,182223,3,13999
35,2009,134000,3,12999
35,2010,235000,3,8800
35,2010,109079,3,17900
35,2010,160000,3,14900
35,2008,156000,3,9300
35,2009,151455,3,11999
35,2008,154000,1,13900
35,2012,77000,3,17400
35,2010,112177,3,9700
35,2012,120000,3,17990
35,2009,131000,3,11500
35,2008,78000,3,12900
35,2010,123000,3,16300
35,2012,153000,3,15500
35,2010,82000,5,18500
35,2008,159960,3,14900
35,2000,224600,3,4900
35,2004,188000,3,4900
35,2000,209221,3,4300
35,2002,175000,5,6700
35,2002,156000,3,7900
35,2005,73345,3,5700
35,2003,112179,3,8000
35,2004,186420,3,6800
35,2001,202781,3,5000
35,2000,178000,3,3500
35,2008,140152,3,13500
35,2003,167000,3,6900
35,2004,238000,3,4100
35,2004,226041,5,3950
35,2000,219000,5,3750
35,2002,202000,3,4500
35,2002,146000,3,4600
35,2006,199000,3,6490
35,2007,213654,1,3699
35,2000,175423,3,3999
42,2011,104000,4,53500
42,2019,23304,2,149900
42,2012,279000,4,38900
42,2013,148754,4,48800
42,2012,176000,4,49300
42,2012,239000,4,42900
42,2013,207856,4,54900
42,2012,171140,4,58900
42,2012,230735,4,46900
42,2015,222220,4,76700
43,2007,211900,1,21300
43,2007,227854,1,22900
43,2014,237000,1,36900
43,2009,165256,1,29900
43,2007,140000,3,21900
43,2015,81482,1,51000
43,2010,145000,1,27900
43,2009,282000,1,19999
43,2007,168000,1,27900
43,2008,236000,1,22900
43,2007,230000,3,23700
43,2007,266860,1,23000
43,2007,182000,3,30900
43,2008,194654,1,22900
43,2009,199000,1,28400
43,2014,133800,1,39800
43,2008,147900,1,25900
43,2007,207062,1,21900
43,2013,181100,1,37900
43,2014,97000,1,46000
43,2007,197384,1,23000
43,2008,200000,1,27060
43,2008,152000,1,23500
43,2014,141923,1,53900
43,2007,174000,1,23800
43,2011,151000,1,32500
43,2008,227000,1,23500
43,2007,220630,3,24900
43,2011,111000,1,39999
43,2011,188000,1,32000
43,2007,159000,1,27300
43,2008,139000,1,28900
43,2007,211900,1,21300
43,2007,227854,1,22900
43,2014,237000,1,36900
43,2009,165256,1,29900
43,2007,140000,3,21900
43,2015,81482,1,51000
43,2010,145000,1,27900
43,2009,282000,1,19999
43,2007,168000,1,27900
43,2008,236000,1,22900
43,2007,230000,3,23700
43,2007,266860,1,23000
43,2007,182000,3,30900
43,2008,194654,1,22900
43,2009,199000,1,28400
43,2014,133800,1,39800
43,2008,147900,1,25900
43,2007,207062,1,21900
43,2013,181100,1,37900
43,2014,97000,1,46000
43,2007,197384,1,23000
43,2008,200000,1,27060
43,2008,152000,1,23500
43,2014,141923,1,53900
43,2007,174000,1,23800
43,2011,151000,1,32500
43,2008,227000,1,23500
43,2007,220630,3,24900
43,2011,111000,1,39999
43,2011,188000,1,32000
43,2007,159000,1,27300
43,2008,139000,1,28900
43,2007,223000,1,18700
43,2012,232456,1,32900
43,2008,240000,1,24900
43,2009,189150,1,30500
43,2010,149121,1,29900
43,2010,133537,1,36900
43,2009,152400,3,24900
43,2008,203226,1,22500
43,2007,205700,1,23999
43,2008,113123,3,25900
43,2007,170000,1,24900
43,2006,220000,5,22600
43,2007,207000,1,25900
43,2007,214891,1,23900
43,2010,222797,1,28500
43,2009,159800,1,29700
43,2009,270000,5,25900
43,2007,157900,1,25900
43,2007,258000,1,24900
43,2010,126000,1,35900
43,2008,254849,1,25999
43,2015,76000,1,44900
43,2010,160000,1,29900
43,2008,143000,1,26900
43,2007,166000,3,26900
43,2009,147000,1,29900
43,2007,226906,1,20700
43,2009,210000,1,26900
43,2007,240000,3,24900
43,2011,157042,1,28000
43,2009,154298,1,10500
43,2007,283000,1,21500
43,2007,413000,1,14999
43,2010,162000,1,29900
43,2007,243000,3,25900
43,2007,223000,3,26900
43,2007,206528,3,25900
43,2014,97000,1,49900
43,2007,179000,3,23700
43,2011,168000,1,34900
43,2011,158000,3,37700
43,2012,216000,1,35800
43,2010,169000,1,30400
43,2011,245000,1,30900
43,2007,158513,1,16300
43,2007,92900,3,29800
43,2012,205000,1,32900
43,2008,280000,1,20900
43,2008,224119,1,27900
43,2013,120000,1,38900
43,2008,265000,1,23800
43,2008,158000,1,21900
43,2008,295000,1,22900
43,2008,212000,1,18900
43,2009,220122,1,26900
43,2008,172000,3,29900
43,2007,236000,1,22900
43,2015,198000,1,43990
43,2014,90532,1,47000
43,2012,77234,1,39900
43,2009,320000,1,19900
43,2011,226200,1,26900
43,2010,228337,1,28000
43,2007,122000,1,25900
43,2010,161500,1,35900
43,2007,199000,1,24900
43,2007,290000,1,22900
43,2008,160000,1,24900
43,2012,157000,3,37900
43,2012,114447,3,34900
43,2007,286305,1,24900
43,2011,188000,1,32700
43,2007,230000,1,20950
43,2009,148000,3,24900
43,2007,230117,1,22999
43,2009,162410,1,32900
43,2007,120400,1,25500
43,2007,167000,1,22900
43,2008,195000,1,28900
43,2007,199999,3,24900
43,2008,135000,1,23500
43,2007,172000,1,17000
43,2007,239575,1,22400
43,2009,215000,1,25999
43,2009,250000,1,26500
43,2007,151000,1,25900
43,2007,252000,1,24000
43,2009,220000,3,24900
43,2007,154743,1,23900
43,2013,96000,1,53000
43,2009,207000,1,26900
43,2007,176000,1,24900
43,2008,224000,5,25000
43,2007,203000,3,25900
43,2010,230000,1,26300
43,2009,159000,1,29900
47,2008,118812,3,9999
47,1999,219000,3,2700
47,1998,193657,5,6400
47,2003,240000,3,4500
47,1998,235000,3,3700
47,2003,135000,3,8700
47,2005,175001,3,10500
47,2008,147000,3,9900
47,1999,241000,5,4995
47,1998,198469,3,2200
47,1998,289452,3,3200
47,2006,174000,3,12800
47,2003,300000,3,4000
47,2000,363000,5,3900
47,2009,162420,3,18200
47,1998,160241,3,6400
47,2000,205000,3,3800
47,2005,147000,3,12900
